"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0963,-7.9548e-05,2.5368e-15,0.5028,1,1.4568,1.4568,0,0
1.0966,-7.9373e-05,3.3491e-15,0.50248,1,1.4629,1.4629,0,0
1.0969,-7.9201e-05,3.8298e-15,0.50217,1,1.4689,1.4689,0,0
1.0971,-7.9029e-05,4.5198e-15,0.50186,1,1.4749,1.4749,0,0
1.0974,-7.886e-05,4.5388e-15,0.50154,1,1.4809,1.4809,0,0
1.0977,-7.8693e-05,4.8782e-15,0.50123,1,1.4869,1.4869,0,0
1.098,-7.8527e-05,3.8802e-15,0.50092,1,1.493,1.493,0,0
1.0983,-7.8363e-05,2.7231e-15,0.50061,1,1.499,1.499,0,0
1.0986,-7.8201e-05,3.0884e-15,0.5003,1,1.505,1.505,0,0
1.0988,-7.804e-05,3.9235e-15,0.49999,1,1.511,1.511,0,0
1.0991,-7.7882e-05,4.3858e-15,0.49968,1,1.517,1.517,0,0
1.0994,-7.7725e-05,4.2997e-15,0.49938,1,1.5231,1.5231,0,0
1.0997,-7.757e-05,4.7619e-15,0.49907,1,1.5291,1.5291,0,0
1.1,-7.7417e-05,4.5105e-15,0.49876,1,1.5351,1.5351,0,0
1.1003,-7.7266e-05,3.2464e-15,0.49846,1,1.5411,1.5411,0,0
1.1005,-7.7117e-05,3.649e-15,0.49815,1,1.5471,1.5471,0,0
1.1008,-7.697e-05,3.8188e-15,0.49784,1,1.5532,1.5532,0,0
1.1011,-7.6824e-05,2.961e-15,0.49754,1,1.5592,1.5592,0,0
1.1014,-7.668e-05,3.1839e-15,0.49723,1,1.5652,1.5652,0,0
1.1016,-7.6539e-05,3.8595e-15,0.49693,1,1.5712,1.5712,0,0
1.1019,-7.64e-05,2.9372e-15,0.49663,1,1.5772,1.5772,0,0
1.1022,-7.6262e-05,2.6409e-15,0.49632,1,1.5833,1.5833,0,0
1.1025,-7.6126e-05,3.4403e-15,0.49602,1,1.5893,1.5893,0,0
1.1027,-7.5993e-05,3.5728e-15,0.49572,1,1.5953,1.5953,0,0
1.103,-7.5862e-05,4.2223e-15,0.49542,1,1.6013,1.6013,0,0
1.1033,-7.5732e-05,4.388e-15,0.49512,1,1.6073,1.6073,0,0
1.1036,-7.5605e-05,4.0848e-15,0.49482,1,1.6134,1.6134,0,0
1.1038,-7.548e-05,3.4428e-15,0.49452,1,1.6194,1.6194,0,0
1.1041,-7.5358e-05,2.3006e-15,0.49422,1,1.6254,1.6254,0,0
1.1044,-7.5237e-05,3.4431e-15,0.49392,1,1.6314,1.6314,0,0
1.1047,-7.5119e-05,3.8781e-15,0.49362,1,1.6374,1.6374,0,0
1.1049,-7.5004e-05,4.128e-15,0.49332,1,1.6435,1.6435,0,0
1.1052,-7.489e-05,4.2112e-15,0.49302,1,1.6495,1.6495,0,0
1.1055,-7.4779e-05,4.9615e-15,0.49272,1,1.6555,1.6555,0,0
1.1057,-7.4671e-05,4.1745e-15,0.49243,1,1.6615,1.6615,0,0
1.106,-7.4565e-05,3.5792e-15,0.49213,1,1.6675,1.6675,0,0
1.1063,-7.4462e-05,4.4215e-15,0.49183,1,1.6736,1.6736,0,0
1.1065,-7.4361e-05,4.0585e-15,0.49153,1,1.6796,1.6796,0,0
1.1068,-7.4263e-05,2.7459e-15,0.49124,1,1.6856,1.6856,0,0
1.1071,-7.4168e-05,3.3804e-15,0.49094,1,1.6916,1.6916,0,0
1.1073,-7.4076e-05,3.8502e-15,0.49065,1,1.6976,1.6976,0,0
1.1076,-7.3986e-05,2.5782e-15,0.49035,1,1.7037,1.7037,0,0
1.1079,-7.39e-05,2.7497e-15,0.49006,1,1.7097,1.7097,0,0
1.1082,-7.3816e-05,3.7978e-15,0.48976,1,1.7157,1.7157,0,0
1.1084,-7.3736e-05,4.1587e-15,0.48947,1,1.7217,1.7217,0,0
1.1087,-7.3659e-05,4.2978e-15,0.48917,1,1.7277,1.7277,0,0
1.1089,-7.3585e-05,4.8687e-15,0.48888,1,1.7338,1.7338,0,0
1.1092,-7.3515e-05,4.0151e-15,0.48859,1,1.7398,1.7398,0,0
1.1095,-7.3448e-05,3.3551e-15,0.48829,1,1.7458,1.7458,0,0
1.1098,-7.3385e-05,2.4254e-15,0.488,1,1.7518,1.7518,0,0
1.11,-7.3325e-05,3.1528e-15,0.48771,1,1.7578,1.7578,0,0
1.1103,-7.3269e-05,3.697e-15,0.48741,1,1.7639,1.7639,0,0
1.1105,-7.3217e-05,4.1464e-15,0.48712,1,1.7699,1.7699,0,0
1.1108,-7.3169e-05,4.0887e-15,0.48683,1,1.7759,1.7759,0,0
1.1111,-7.3126e-05,4.6353e-15,0.48653,1,1.7819,1.7819,0,0
1.1113,-7.3086e-05,3.5442e-15,0.48624,1,1.7879,1.7879,0,0
1.1116,-7.3051e-05,2.9995e-15,0.48595,1,1.794,1.794,0,0
1.1119,-7.302e-05,3.9402e-15,0.48566,1,1.8,1.8,0,0
1.1121,-7.2994e-05,3.2522e-15,0.48536,1,1.806,1.806,0,0
1.1124,-7.2973e-05,2.3702e-15,0.48507,1,1.812,1.812,0,0
1.1127,-7.2957e-05,3.3494e-15,0.48478,1,1.818,1.818,0,0
1.1129,-7.2945e-05,3.5529e-15,0.48449,1,1.8241,1.8241,0,0
1.1132,-7.2939e-05,2.291e-15,0.48419,1,1.8301,1.8301,0,0
1.1134,-7.2939e-05,3.1847e-15,0.4839,1,1.8361,1.8361,0,0
1.1137,-7.2944e-05,3.8123e-15,0.48361,1,1.8421,1.8421,0,0
1.114,-7.2955e-05,4.1891e-15,0.48332,1,1.8481,1.8481,0,0
1.1142,-7.2972e-05,3.9429e-15,0.48302,1,1.8542,1.8542,0,0
1.1145,-7.2994e-05,4.7317e-15,0.48273,1,1.8602,1.8602,0,0
1.1148,-7.3024e-05,3.8089e-15,0.48244,1,1.8662,1.8662,0,0
1.115,-7.306e-05,2.9686e-15,0.48214,1,1.8722,1.8722,0,0
1.1153,-7.3103e-05,2.6011e-15,0.48185,1,1.8782,1.8782,0,0
1.1156,-7.3153e-05,3.396e-15,0.48156,1,1.8843,1.8843,0,0
1.1158,-7.321e-05,3.6616e-15,0.48126,1,1.8903,1.8903,0,0
1.1161,-7.3275e-05,3.859e-15,0.48097,1,1.8963,1.8963,0,0
1.1164,-7.3348e-05,4.171e-15,0.48067,1,1.9023,1.9023,0,0
1.1166,-7.3429e-05,4.2054e-15,0.48038,1,1.9083,1.9083,0,0
1.1169,-7.3518e-05,2.9883e-15,0.48008,1,1.9144,1.9144,0,0
1.1171,-7.3615e-05,3.0659e-15,0.47979,1,1.9204,1.9204,0,0
1.1174,-7.3723e-05,3.9729e-15,0.47949,1,1.9264,1.9264,0,0
1.1177,-7.3839e-05,3.1349e-15,0.47919,1,1.9324,1.9324,0,0
1.1179,-7.3964e-05,2.9742e-15,0.4789,1,1.9384,1.9384,0,0
1.1182,-7.41e-05,3.8525e-15,0.4786,1,1.9445,1.9445,0,0
1.1185,-7.4246e-05,3.5569e-15,0.4783,1,1.9505,1.9505,0,0
1.1187,-7.4403e-05,2.712e-15,0.478,1,1.9565,1.9565,0,0
1.119,-7.4571e-05,3.3649e-15,0.4777,1,1.9625,1.9625,0,0
1.1193,-7.475e-05,3.5079e-15,0.4774,1,1.9685,1.9685,0,0
1.1196,-7.494e-05,4.0031e-15,0.4771,1,1.9746,1.9746,0,0
1.1198,-7.5144e-05,3.9217e-15,0.4768,1,1.9806,1.9806,0,0
